"probe_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","group"
"1633305_at","Obp99a",-0.831850401142123,11.5352704296088,-9.17824644705841,1.04810510362657e-07,3.43499857198783e-06,7.66424385228943,"female"
"1633313_at","Ank2",0.5190059016648,9.66899342096001,6.7676052535546,4.99627797897876e-06,8.12785066588888e-05,3.65157413563043,"female"
"1633314_at","CG15605",-0.559927597047998,6.85431512102499,-6.99505934963501,3.36002181114806e-06,5.87988304384839e-05,4.06273062198091,"female"
"1633333_a_at","CG7231",0.628265229311959,8.62715767207969,10.0222628067425,3.1865844200821e-08,1.27678959681598e-06,8.90166284457147,"female"
"1633334_at","CG15822",-0.694871959875031,6.24745082710877,-6.20599844212118,1.37167134632896e-05,0.000189198507443548,2.60657140141367,"female"
"1633391_at","Irc",-0.465916138539681,10.5648400978289,-6.70435332415544,5.58607186348763e-06,8.97940915664271e-05,3.53599559136232,"female"
"1633401_s_at",NA,-1.62116375759786,9.48067038281091,-21.9714918968643,3.28662112045e-13,8.65111714927338e-11,20.6678576604735,"female"
"1633420_at","ldlCp",-0.38965866609235,5.36593562585248,-2.6733164796776,0.0168606349601408,0.0617677599382796,-4.57476220478998,"female"
"1633425_at","Smvt",0.820792478386144,9.09434974645397,11.3864123191408,5.40644687111615e-09,2.89443449438964e-07,10.7434304856932,"female"
"1633434_at","CG18327",0.924545247881031,6.92964734972255,10.620566629525,1.4323324655426e-08,6.63705742957539e-07,9.73227927975864,"female"
"1633443_s_at","CG2082",0.394917748349266,9.38755436289123,4.58417970919633,0.000320211617570154,0.00246630953047685,-0.628910226489064,"female"
"1633446_s_at","Ssk",-0.616662588605484,10.50882251204,-8.09416686217828,5.44322800965328e-07,1.35203220496657e-05,5.95205801656761,"female"
"1633447_at","Mctp",0.474352996446533,9.06329964301458,10.4500768704377,1.79247986092001e-08,7.99319489980141e-07,9.49935060656608,"female"
"1633462_at","CG31365",0.447122511524539,8.00870896272579,6.42390459143232,9.22227113614874e-06,0.000135488746180071,3.01704903574642,"female"
"1633465_at","Cp7Fa",1.02798601492501,6.8958325810615,3.1026586092831,0.00696685744285531,0.0303740239836655,-3.7170218273596,"female"
"1633471_at","Prx2540-2",-0.92018561677362,7.22851556238484,-10.5969324295429,1.47732252163493e-08,6.77922915981238e-07,9.7001646664769,"female"
"1633473_s_at","Ald",-0.414393054492092,11.2950022113845,-5.67167391374472,3.73179055009915e-05,0.000425250234509476,1.57389120500593,"female"
"1633488_at","aay",-0.573622453090356,11.0902170051539,-7.39590799873222,1.6985054422894e-06,3.35842153457365e-05,4.77035380696308,"female"
"1633492_at","hgo",-0.583377476410206,9.9192653655712,-6.13990973007042,1.54917232623445e-05,0.000208374122972288,2.48083669688193,"female"
"1633503_at","CG12171",-0.389068042694227,10.4877485866853,-8.33737961844571,3.71553125548091e-07,9.91394645602761e-06,6.3488371493033,"female"
"1633526_at","Sox15",0.47418328297665,4.69115969526156,4.49097780464512,0.000387340685773355,0.00288670101328219,-0.822599927001876,"female"
"1633532_at","CG5767",-1.67053464054422,8.40851134533644,-14.6692639498311,1.40329092615276e-10,1.32314276778344e-08,14.5173562890904,"female"
"1633533_at","CG6329",0.456691893465075,9.88011230909329,7.74015080209749,9.61629702392813e-07,2.12824523192461e-05,5.36092746107804,"female"
"1633540_at","phu",1.88112044118008,7.57542142764703,11.5818053651902,4.25180819847113e-09,2.38989849560333e-07,10.9925735326592,"female"
"1633545_at","PGRP-SD",-1.87533608387145,9.45688346993026,-13.7449930650412,3.63517445361659e-10,2.83513688250789e-08,13.5366745674445,"female"
"1633563_at","CG1637",-0.530236667100778,8.48184785744585,-9.51450594164323,6.46283680509413e-08,2.311012889248e-06,8.16680961282152,"female"
"1633572_at","CG42336",-0.400507500508501,7.36596937627836,-5.62052006646634,4.11531993711035e-05,0.000459055582390319,1.47314566167487,"female"
"1633592_a_at","CREG",-0.792785589521027,11.5610105766114,-16.3107292027468,2.92531246911338e-11,3.60003389056083e-09,16.1263402297017,"female"
"1633607_at","CG2444",-0.504833666958872,6.56471937145979,-3.11594399594829,0.00677697688149338,0.0296827515271695,-3.68991826162625,"female"
"1633625_s_at","Pitslre",0.388571123864903,9.1973703276433,6.14923175224444,1.52275275249105e-05,0.000205257540293104,2.49860670748518,"female"
"1633639_at","Cyp28d1",-1.67055169468756,11.2100873055108,-21.7717798474689,3.77684513415906e-13,9.63520338558856e-11,20.529051545925,"female"
"1633642_at",NA,1.05820994249584,6.71697330193066,11.3966996281484,5.33805502120774e-09,2.87405735119117e-07,10.7566347185246,"female"
